flag	name
RC3 CTF	Throwback
RC3-2015	Throwback
RC3 2015	Throwback
rc3-club-667	Throwback
rc3 club 6667	Throwback
RC3-CLUB-6667	Throwback
Club 6667	Throwback
CLUB 6667	Throwback
CLUB-6667	Throwback
club-6667	Throwback
RC3-XXXX-####	Throwback
XXXX-####	Throwback
RC3-XXXX-####	Throwback
	Throwback
MD3-2015381-DmlqifDghyyzuvz	Throwback
DO3-2015372-RxmsradOdkbfa	Throwback
0c188e60ff665b265f4693227dfedbfebeffc5f9fa21b631cbd82115400900a357af2f7ccbf93c37246b449688479e13e02906d563d866534949fb8d667c63e2	Throwback
RC3-XXXX-####	Throwback
rc3.club.6667	Throwback
UUDDLRLRABStart	Throwback
UUDDLRLRABStart	Throwback
5df3cb06549c57ebfe148bdd9ddfbe0796c066989beb315e378c0da7cf11694177a85f1ae87ff848ee60af6b05b294cb2072d3652208b02fc248552d874d04a1	Throwback
	Throwback
Loob	Throwback
Loob	Throwback
Bool	Throwback
lobo	Throwback
lobo	Throwback
lobo	Throwback
lobo	Throwback
lobo	Throwback
lobo	Throwback
BOOI	Throwback
LOBO	Throwback
ba	Throwback
9322289a7e3c07077daa3ec092d09152f32f548f9971c4ec9b6f29e496b2368dececf20ed53ae34873d2e1b82d51f645c84e33642877610a7442d6e014edd0d5	Throwback
9322289a7e3c07077daa3ec092d09152f32f548f9971c4ec9b6f29e496b2368dececf20ed53ae34873d2e1b82d51f645c84e33642877610a7442d6e014edd0d5	Throwback
85c7307979eac11234db5f9917a18de5d8ebca51783362103190806f2d8f0e139fe79d0461366656552a12e04e5c931b2800c5ba4322a587c12030c26fc76ba7	Throwback
	Throwback
85c7307979eac11234db5f9917a18de5d8ebca51783362103190806f2d8f0e139fe79d0461366656552a12e04e5c931b2800c5ba4322a587c12030c26fc76ba7	Throwback
answer	Throwback
	Throwback
nonce	Throwback
answer	Throwback
start	Throwback
7	Throwback
	Throwback
RC3-XXXX-####	Throwback
	Throwback
85c7307979eac11234db5f9917a18de5d8ebca51783362103190806f2d8f0e139fe79d0461366656552a12e04e5c931b2800c5ba4322a587c12030c26fc76ba7	Throwback
	Throwback
u53 y0ur l337 0ld 5k00l 64m3r 5k1llz 70 unl0ck 7h3 fl46	Throwback
keep-alive	Throwback
f14g	Throwback
thr0wb4ck	Throwback
f14g	Throwback
	Throwback
RC3-XXXX-####	Throwback
RC3-MSEI-337	Throwback
RC3-XXXX-####	Throwback
RC3-2015-l33t	Throwback
RC3-club-gggt	Throwback
RC3-6667-gggt	Throwback
RC3-2015-l33t	Throwback
RC3-club-6667	Throwback
RC3-club-gggt	Throwback
	Throwback
RC3-2015827-MagicallyDelicious	Negotiations
RC3-SSLV-39091	Negotiations
RC3-SSLV-39091	Negotiations
RC3-SSLV-39091	Negotiations
RC3-SSLV-39091	Negotiations
RC3-SSLV-39091.0	Negotiations
RC3-SSLV-390910	Negotiations
	Negotiations
RC3-SCANAROONIE-S2280443	Negotiations
asdf	Negotiations
46roxdnaa	aandxor64
46roxdnaa	aandxor64
RB3,\\JVA%999=	aandxor64
RC3-XORD-010	aandxor64
	aandxor64
7	aandxor64
	aandxor64
Lulz Security	Sony Hack
Bureau 121	Sony Hack
GOP	Sony Hack
God'sApstls	Sony Hack
lizard squad	Sony Hack
lizardsquad	Sony Hack
lizard	Sony Hack
north korea	Sony Hack
gop	Sony Hack
Lizard Squad	Sony Hack
nobody knows	Sony Hack
Lizard Squad	Sony Hack
Lizard Squad	Sony Hack
God'sApstls	Sony Hack
North Korea	Sony Hack
Lizard squad	Sony Hack
anonymous	Sony Hack
Lizard squad	Sony Hack
Lizard squad	Sony Hack
	Sony Hack
God's Apostles	Sony Hack
GodsApostles	Sony Hack
GodsApstls	Sony Hack
LulzSec 	Sony Hack
Lulz Security	Sony Hack
lizard squad	Sony Hack
anonymous 	Sony Hack
anonymous 	Sony Hack
The Lizard Squad	Sony Hack
LizardNSA	Sony Hack
North Korea	Sony Hack
Lizard Squad	Sony Hack
Gaurdians nof Peace	Sony Hack
God'sApstls	Sony Hack
Lizard Squad	Sony Hack
Lizard Squad	Sony Hack
Lizard Squad	Sony Hack
Lizard Squad	Sony Hack
Lulz Security	Sony Hack
God'sApstls	Sony Hack
North Korea	Sony Hack
God'sApstls	Sony Hack
LulzSec	Sony Hack
#GOP	Sony Hack
GOP	Sony Hack
	Sony Hack
LulzSec	Sony Hack
Lizard Squad	Sony Hack
Sony	Sony Hack
God's Apstls	Sony Hack
Guardians of Pieace	Sony Hack
Guardian of Peace	Sony Hack
Democratic People's Republic of Korea	Sony Hack
Anonymous	Sony Hack
Lulzsec	Sony Hack
God'sApstls	Sony Hack
God's Apostles	Sony Hack
	Sony Hack
	Sony Hack
	Sony Hack
Lizard Squad	Sony Hack
LulzSec	Sony Hack
God'sApstl	Sony Hack
God'sApstls	Sony Hack
Lizard Squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
lizard squad	Sony Hack
God'sApstls	Sony Hack
LulzSec	Sony Hack
Anonymous	Sony Hack
Anonymous	Sony Hack
god's apostles	Sony Hack
The Guardians of Peace	Sony Hack
God'sApstls	Sony Hack
McAfee	Sony Hack
LulzSec	Sony Hack
LulzSec	Sony Hack
Lulzsec	Sony Hack
God'sApstls	Sony Hack
God'sApstls	Sony Hack
God'sApostles	Sony Hack
Lizard Squad	Sony Hack
God'sApstls	Sony Hack
democratic people's republic of korea	Sony Hack
lulzsec	Sony Hack
lulz security	Sony Hack
God'sApstls	Sony Hack
God's Apstls	Sony Hack
2286198	Windows Exploits
2286198	Windows Exploits
2286198	Windows Exploits
MS10-046	Windows Exploits
MS10-046	Windows Exploits
MS15-020	Windows Exploits
MS10-046	Windows Exploits
MS10-046	Windows Exploits
10-046	Windows Exploits
10046	Windows Exploits
046	Windows Exploits
046	Windows Exploits
MS08-067	Windows Exploits
MS-08-067	Windows Exploits
MS08-67	Windows Exploits
2286198	Windows Exploits
MS10-061	Windows Exploits
MS08-067	Windows Exploits
MS10-061	Windows Exploits
MS10-046	Windows Exploits
MS15-093	Windows Exploits
MS10-046	Windows Exploits
MS08-067	Windows Exploits
CVE-2010-2772	Windows Exploits
MS08-067	Windows Exploits
MS08-67	Windows Exploits
MS08-067	Windows Exploits
MS0886	Windows Exploits
MS10-046	Windows Exploits
MS10	Windows Exploits
MS10-061	Windows Exploits
MS10-062	Windows Exploits
MS10-062	Windows Exploits
MS08-067	Windows Exploits
vb2010	Windows Exploits
MS15-020	Windows Exploits
MS15-018	Windows Exploits
MS-08-067	Windows Exploits
MS15-018	Windows Exploits
MS10-092	Windows Exploits
MS10-046	Windows Exploits
067	Windows Exploits
MS10-046	Windows Exploits
MS08-067	Windows Exploits
MS10-046	Windows Exploits
MS04-011	Windows Exploits
MS10-046	Windows Exploits
10-046	Windows Exploits
958644	Windows Exploits
2286198	Windows Exploits
MS08-038	Windows Exploits
CVE-2010-2568	Windows Exploits
MS10-046	Windows Exploits
MS08-067	Windows Exploits
MS10-046	Windows Exploits
MS08-067	Windows Exploits
MS15-020	Windows Exploits
ms08-067	Windows Exploits
MS08-067	Windows Exploits
ms10-046	Windows Exploits
MS-10-061	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
MS-08.067	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
CVE-2010-2568	Windows Exploits
MS08-067	Windows Exploits
MS10-046	Windows Exploits
MS08-067	Windows Exploits
Microsoft Security Bulletin MS08-067 - Critical 	Windows Exploits
MS08	Windows Exploits
MS08-67	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
MS10-061	Windows Exploits
MS10-067	Windows Exploits
MS10-064	Windows Exploits
MS10-046	Windows Exploits
MS07-061	Windows Exploits
MS10-067	Windows Exploits
MS10-064	Windows Exploits
MS08-067	Windows Exploits
 MS08-067	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
958644	Windows Exploits
MS08-067	Windows Exploits
ms10-061	Windows Exploits
MS10-046	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
958644	Windows Exploits
MS08-067	Windows Exploits
MS06-040	Windows Exploits
MS06-040	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
MS08-067	Windows Exploits
958644	Windows Exploits
CVE-2008-4250	Windows Exploits
	Windows Exploits
MS08	Windows Exploits
KB971029	Windows Exploits
MS08-067	Windows Exploits
KB971029	Windows Exploits
067	Windows Exploits
08-067	Windows Exploits
RC3-MS08-067	Windows Exploits
ms10-061	Windows Exploits
ms10-046	Windows Exploits
RC3-MS10-046	Windows Exploits
MS10-046	Windows Exploits
MS15-018	Windows Exploits
MS15-018	Windows Exploits
MS10-046	Windows Exploits
lnk	Windows Exploits
lnk files	Windows Exploits
usb	Windows Exploits
lnk files	Windows Exploits
p2p	Windows Exploits
peer to peer	Windows Exploits
LNK files	Windows Exploits
LNK	Windows Exploits
USB flash drives	Windows Exploits
MS8-067	Windows Exploits
CVE-2010-2772	Windows Exploits
	Windows Exploits
CVE-2010-2568	Windows Exploits
CVE-2008-4250	Windows Exploits
CVE-2008-4250	Windows Exploits
	Windows Exploits
CVE-2008-4250	Windows Exploits
CVE-2008-4250	Windows Exploits
MS10-046.	Windows Exploits
MS10-046	Windows Exploits
MS15-020	Windows Exploits
MS10-061	Windows Exploits
10-061	Windows Exploits
MS10-046	Windows Exploits
MS10-061	Windows Exploits
MS10-046	Windows Exploits
MS06-87	Windows Exploits
MS06-87	Windows Exploits
ms10-046	Windows Exploits
MS10046	Windows Exploits
MS10-046	Windows Exploits
MS08-67	Windows Exploits
ms10-046	Windows Exploits
2010-030	Windows Exploits
MS10-046	Windows Exploits
Microsoft Security Bulletin MS10-046	Windows Exploits
MS15-020	Windows Exploits
MS15-020	Windows Exploits
MS10-046	Windows Exploits
MS10-046	Windows Exploits
Internet Information Services	Windows Exploits
Internet Information Services	Windows Exploits
958644	Windows Exploits
CPLINK	Windows Exploits
MS10-046	Windows Exploits
ms08_67 netapi	Windows Exploits
MS10-046	Windows Exploits
MS10-061	Windows Exploits
MS10-061	Windows Exploits
10-061	Windows Exploits
2347290	Windows Exploits
MS10-046	Windows Exploits
CVE-2010-2568	Windows Exploits
Zero-day	Windows Exploits
Zero-day eploits	Windows Exploits
zero-day exploits	Windows Exploits
four zero-day attacks	Windows Exploits
zero-day attacks	Windows Exploits
four zero-day attacks	Windows Exploits
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
RC3-SOCCER-8675309	Goal!
	Goal!
WTHYPkZeI[mbjSLlKinlPwthn8	Goal!
fecthLeadsph	Goal!
fecthLeadsPh	Goal!
GOOOOOAAAAALLLLLLLL!!!!!!!!!1	Goal!
Alex Morgan	Goal!
goal\\	Goal!
alex morgan	Goal!
GOOOOOAAAAALLLLLLLL!!!!!!!!!1	Goal!
Flag: RC3-SOCCER-8675309	Goal!
RC3-DUTG-1253	Goal!
RC3-LOND-2012	Goal!
soccer	Goal!
GOOOOOAAAAALLLLLLLL!!!!!!!!!1:	Goal!
GOOOOOAAAAALLLLLLLL!!!!!!!!!1	Goal!
	Goal!
GOOOOOAAAAALLLLLLLL!!!!!!!!!1	Goal!
GOOOOOAAAAALLLLLLLL!!!!!!!!!	Goal!
	Goal!
GOOOOOAAAAALLLLLLLL	Goal!
http://129.21.39.225:82/goal.gif	Goal!
goal.gif	Goal!
GOAL	Goal!
goal	Goal!
goal	Goal!
1	Goal!
RC3X8AABgAcowsnEnERnEWhjily	Goal!
RC3X8AABgAcowsnEnERnEWhjily	Goal!
7	Goal!
key	Goal!
GOAL	Goal!
goal.gif	Goal!
NETSCAPE2.0	Goal!
RC3-2012-GOAL	Goal!
RC3-GOAL-2012	Goal!
Winning	Current Events
winning	Current Events
snowman'	Current Events
snowman	Current Events
7	Current Events
:p\\n	Current Events
"../flag.txt"	Current Events
Seriously, you can't have it.	Current Events
w8KqOpNKNlc+5nUDi1VF5nj9Yo+9J87zvjYbu8DabzDCeWXtt6NKMbWOqTkf/fmy/AVmS5xN9zic /YrO4rpwia+KEQJJJNG5mFQ7emcddEaEJwMKLTbv1ol//WsUht/JCDMSP1StFLguTY715RgbkThi BHPNbdgPmY3R23dfjz4=	Mega File
7	Mega File
DirtyHarry99	Mega File
SuperDuperSecretPa$$w0rd55	Diagnostics
7	Diagnostics
OTG-CRYPST-003	Diagnostics
OTG-CRYPST-003	Diagnostics
HTTP-Basic	Diagnostics
	Top Secret
RC3-LEETHAX-0059271	Top Secret
secret	Top Secret
RC3-RedTeamGetRekt-1010101	Top Secret
0cc8ad13e3adc57abde1fcb81ae3c9896be04eb27a1411988475cedea5ac6553473de16afaf71c2a546f6bd868b859d6ef1cd065abd6f92e75e22aa4bfecce0a	Top Secret
xor eax eax	Registers
xor ax ax	Registers
move eax	Registers
bswap eax	Registers
xor	Registers
two	Registers
two	Registers
CLA CLL	Registers
xor	Registers
xor ax,ax	Registers
mov ax,0	Registers
mov ax, 0	Registers
NOP	Registers
0b0110000	Registers
 mov eax	Registers
xor	Registers
CLA CLL	Registers
	Registers
xor	Registers
29 C0	Registers
xor ax,ax	Registers
29 C0	Registers
mov eax, 0	Registers
33 C0                xor         eax, eax	Registers
Zeroizing	Registers
XOR	Registers
test eax,eax	Registers
XOR	Registers
0b00110011 0x33 0b11000000 0xc0	Registers
0b00110011 0x33 0b11000000 0xc0	Registers
XOR EAX,EAX\\	Registers
mov eax, 0	Registers
33 C0                xor         eax, eax	Registers
33 C0 xor eax, eax	Registers
33 C0 xor eax, eax	Registers
CLA CLL	Registers
29	Registers
opcode: 29 C0	Registers
29 C0	Registers
sub ax,ax  ; opcode: 31 C0	Registers
31 C0	Registers
31 C0	Registers
0b00110001 0x31 0b11 sss ddd	Registers
XOR r16/32,r16/32	Registers
xor ax,ax  ; opcode: 29 C0	Registers
sub ax,ax  ; opcode: 31 C0	Registers
opcode: 31	Registers
Zeoring	Registers
xor	Registers
xor ax,ax ; opcode 29 C0	Registers
XOR	Registers
XOR	Registers
CMPEQ XMM1, XMM1 	Registers
XOR	Registers
Zeroing out a CPU register	Registers
mov eax, 0	Registers
xor eax eax	Registers
xorl %eax,%eax	Registers
xorl %eax	Registers
xorl %eax,%eax	Registers
MOV	Registers
EAX = ABCDEFGH	Registers
ABCDEFGH	Registers
Zeroizing	Registers
pop	Registers
mov	Registers
mov eax, 0	Registers
mov eax 0	Registers
mov	Registers
mov eax	Registers
mov eax 0000	Registers
mov eax 00	Registers
	Registers
33 C0 xor eax, eax	Registers
33 C0	Registers
33C0	Registers
33C0 xor eax, eax	Registers
33C0 xor	Registers
xor 33C0	Registers
33C0 xor eax, eax	Registers
33C0 xor eax, eax	Registers
33C0 XOR EAX	Registers
xor	Registers
move eax, 0	Registers
mov eax, 0	Registers
xor eax, 33C0	Registers
xor 33C0	Registers
eax, 0	Registers
eax,0	Registers
mov 0	Registers
xor eax, 33	Registers
eax,0	Registers
mov eax, 0	Registers
xor ax,ax  ; opcode: 29 C0	Registers
xor ax,ax  ; opcode: 29 C0	Registers
29 C0	Registers
xor	Registers
xor	Registers
0b00110011 0x33 0b11000000 0xc0	Registers
pop eax	Registers
pop eax	Registers
xor eax	Registers
xor	Registers
xor ax,ax  ; opcode: 29 C0	Registers
xor ax,ax  ; opcode: 29	Registers
xor wax	Registers
xor eax	Registers
mov	Registers
mov eax	Registers
	Registers
mov eax	Registers
xor	Registers
xor it	Registers
xor ax,ax  ; opcode: 29 C0	Registers
 sub ax,ax  ; opcode: 31 C0	Registers
eax	Registers
Cory reg, reg	Registers
Cory reg,reg	Registers
xor reg, reg	Registers
MOV EAX,0	Registers
xor ax,ax  ; opcode: 29 C0	Registers
xorl %eax,%eax	Registers
Tabula rasa	Registers
XOR 	Registers
EAX	Registers
EAX	Registers
XOR 	Registers
29 C0	Registers
31 C0	Registers
33 C0	Registers
31 c0 	Registers
31c0 	Registers
61	Registers
31c0 	Registers
90	Registers
xor	Registers
tabula rasa	Registers
0b00110011 0x33 0b11000000 0xc0	Registers
0b0110000 0x60	Registers
0b0110001 0x61	Registers
0b10011000 0x98	Registers
0b10010000 0x90	Registers
	Registers
EAX	Registers
XOR EAX	Registers
11111100b	Registers
AND	Registers
pop	Registers
RC3-9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJBN	CyberPugDoug
9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJB	CyberPugDoug
RC3-9873455-NKBKJBN	CyberPugDoug
RC3-9873455-NKBKJ	CyberPugDoug
RC3-9873455	CyberPugDoug
RC3-9873455-NKBK	CyberPugDoug
00:C6:E7:2D:81:AC:6E:E8:45:8A:9B:AF:28:A4:B1:12:D3	CyberPugDoug
COMODO CA Limited	CyberPugDoug
3A:A5:C6:E7:76:B4:9A:37:3D:85:09:8C:43:2A:33:DD:EF:0C:4E:15	CyberPugDoug
B0:BF:83:76:54:2D:DE:7E:5F:4D:18:1A:88:B4:75:8C:AE:78:C3:FA:C7:C4:20:69:A5:9E:C7:6D:1F:C5:A5:ED	CyberPugDoug
79 db 35 66 d6 2e 4c 4e 71 a0 4b 5d d5 02 07 40  6e 4f e3 0d 28 87 de 50 9f 0c bb 0d 9f 28 77 4c  16 c5 11 79 15 5b 9c d7 70 8e 4e 79 77 2e be 1a  c8 20 89 f0 7d c9 a7 ae 42 05 f7 76 3b 8b 8a f9  1a 6b e0 d6 90 9e 2d 8a 1f 6d 1b 3d a1 ce 44 8b  f5 52 75 39 20 16 43 74 35 ac 89 a7 5b 51 99 c9  d9 78 86 41 e5 96 7f 72 09 43 93 3a 38 97 77 2a  db 63 5e 93 f7 c9 a2 13 5b 93 10 62 f8 63 00 1a  a5 62 2b ae 57 db 1b 16 af 2f 12 89 09 15 e0 ef  99 59 42 e7 82 81 c2 a8 55 c1 24 85 f8 e7 ee 06  84 b3 35 4d b1 70 ca 61 8a 9f e8 a1 ac 77 23 bf  32 b9 08 e9 2a 5a 7b a6 34 7f e7 86 f2 37 3c 27  93 2d df 4a 1e 44 90 86 cd d4 ba ca 5c bc eb 9d  09 7d bb a8 b4 00 55 f2 33 d4 1f 16 14 7d 7a cf  9c 42 30 9e f6 90 eb a4 61 77 c2 9b 61 a3 4d 62  42 42 b8 34 0d 00 b0 fe 0f 5a 03 3a 67 5a 28 62 	CyberPugDoug
buzzfeed	CyberPugDoug
cyber	CyberPugDoug
RC3-9873455-NKBKJB	CyberPugDoug
RC3-ROBOTZ-559672 	CyberPugDoug
RC3-ROBOTZ-559672	CyberPugDoug
RC3-ROBOTZ-559672 	CyberPugDoug
Cyber	CyberPugDoug
DOUGTHEPUG	CyberPugDoug
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	CyberPugDoug
RC3-9873455	CyberPugDoug
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
mf2qd64c7^CsNezE\\:&{	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
192.168.235.128	ThePacketsNowItAll
192.168.235.129	ThePacketsNowItAll
6667	ThePacketsNowItAll
366	ThePacketsNowItAll
MrRobot	ThePacketsNowItAll
irc.example.net	ThePacketsNowItAll
benster	ThePacketsNowItAll
benster900	ThePacketsNowItAll
purple	ThePacketsNowItAll
purple	ThePacketsNowItAll
	ThePacketsNowItAll
HELLO	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3Xk	ThePacketsNowItAll
bWYycWQ2NGM3Xk NzTmV6RVw6Jnsk	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6Jnsk	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6Jnsk	ThePacketsNowItAll
secretsauce	ThePacketsNowItAll
#secretsauce	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
	ThePacketsNowItAll
flag.txt	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
secretsauce	ThePacketsNowItAll
benster	ThePacketsNowItAll
168	ThePacketsNowItAll
flag.txt	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
abBcCioqrRswx abehiIklmMnoOPqQrRstvVz	ThePacketsNowItAll
purple	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
mf2qd64c7^CsNezE\\:&{	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
mf2qd64c7^CsNezE\\:&{	ThePacketsNowItAll
RC3-GVUX-PKNR	ThePacketsNowItAll
bWYycWQ2NGM3XkNzTmV6RVw6JnsK	ThePacketsNowItAll
benster300	ThePacketsNowItAll
	GetSchwiftyWithTheseBits
7	GetSchwiftyWithTheseBits
lol fuk tis	GetSchwiftyWithTheseBits
RPI IS BETTER THAN RIT	GetSchwiftyWithTheseBits
U MAD	GetSchwiftyWithTheseBits
<Ofeensive to RIT>	GetSchwiftyWithTheseBits
RC3-CHEESE-12131415161718	PasswordsDon'tStopMe
